metabolite_name,RefMetName,metabolite_ID,RetentionTimeIndex,m_z_ratio
PC(O-40:6).1,PC P-40:5 or PC O-40:6,ME399131,6.4,820.624327079849
PC(O-40:6).2,PC P-40:5 or PC O-40:6,ME399132,6.17,820.616448149824
PC(P-18:0/22:6),PC P-18:0/22:6 or PC O-18:1/22:6,ME399133,5.97,818.607858343773
PE(16:0/18:1),PE 16:0/18:1,ME399134,6.56,718.539722324821
PE(34:2),PE 34:2,ME399135,6.16,716.525383444151
PE(36:4),PE 36:4,ME399136,6.02,740.523908467934
PE(38:4),PE 38:4,ME399137,6.46,768.555052398267
PE(38:6),PE 38:6,ME399138,5.84,764.523556758511
PE(O-16:0/22:6) or PE(P-18:0/20:5),-,ME399139,6.22,750.547048627883
PE(O-38:5) or PE(P-38:4),PE P-38:4 or PE O-38:5,ME399140,6.65,752.558666357292
PE(P-18:0/22:6),PE P-18:0/22:6 or PE O-18:1/22:6,ME399141,6.46,776.560198849355
PI(18:0/20:4),PI 18:0/20:4,ME399142,5.99,904.591670319333
SM(d16:1/18:1) or SM(d18:2/16:0),-,ME399143,5.54,701.559819278151
SM(d18:0/14:0),SM 18:0;O2/14:0,ME399144,5.73,677.556632491029
SM(d18:0/16:0),SM 18:0;O2/16:0,ME399145,6.27,705.583844478282
SM(d18:1/12:0),SM 18:1;O2/12:0,ME399146,4.93,647.511857185628
SM(d18:1/24:0),SM 18:1;O2/24:0,ME399147,7.74,815.699600578822
SM(d18:2/14:0),SM 18:2;O2/14:0,ME399148,4.98,673.529101280335
SM(d32:1),SM 32:1;O2,ME399149,5.51,675.54398739493
SM(d33:1),SM 33:1;O2,ME399150,5.8,689.559706415246
SM(d34:1),SM 34:1;O2,ME399151,6.08,703.575025907189
SM(d36:0),SM 36:0;O2,ME399152,6.76,733.61767392919
SM(d36:1),SM 36:1;O2,ME399153,6.56,731.606103477221
SM(d36:2),SM 36:2;O2,ME399154,6.08,729.590973290609
SM(d38:2),SM 38:2;O2,ME399155,6.55,757.62261622122
SM(d41:1),SM 41:1;O2,ME399156,7.56,801.684385583268
SM(d42:2),SM 42:2;O2,ME399157,6.9,813.681015265678
TG(14:0/16:0/18:1),TG 14:0_16:0_18:1,ME399158,8.64,822.754669468036
TG(14:0/18:1/18:1),TG 14:0_18:1_18:1,ME399159,8.6,848.769450131585
TG(14:0/18:2/18:2),TG 14:0_18:2_18:2,ME399160,8.08,844.739120211325
TG(16:0/16:0/16:0),TG 16:0_16:0_16:0,ME399161,9.01,824.769293070534
TG(16:0/18:0/18:1),TG 16:0_18:0_18:1,ME399162,9.27,878.81497042872
TG(16:0/18:2/18:2),TG 16:0_18:2_18:2,ME399163,8.29,872.770909405667
TG(16:0/18:2/18:3),TG 16:0_18:2_18:3,ME399164,8.09,870.754651700523
TG(16:0/18:2/22:6),TG 16:0_18:2_22:6,ME399165,8.02,920.77044797084
TG(16:0/22:5/18:1) or TG(20:4/18:1/18:1),-,ME399166,8.34,924.799341764714
TG(18:0/18:0/18:0),TG 18:0/18:0/18:0,ME399167,10.21,908.863279967319
TG(18:0/18:1/20:4),TG 18:0_18:1_20:4,ME399168,8.64,926.814043659984
TG(18:1/12:0/18:1) or TG(18:2/16:0/14:0),-,ME399169,8.35,820.738937570358
TG(18:1/18:1/16:0),TG(18:1/18:1/16:0)*,ME399170,8.87,876.799334568175
TG(18:1/18:1/18:1),TG 18:1_18:1_18:1,ME399171,8.8,902.814390918452
